flight_date,unique_carrier,flight_num,arr_delay
08/01/2015 0:00,AA,1337,-4
09/01/2015 0:00,AA,1337,6
10/01/2015 0:00,AA,1337,2
11/01/2015 0:00,AA,1337,70
12/01/2015 0:00,AA,1337,-2
13/01/2015 0:00,AA,1337,4
14/01/2015 0:00,AA,1337,-8
02/01/2015 0:00,AA,1339,-4
03/01/2015 0:00,AA,1339,-12
04/01/2015 0:00,AA,1339,-5
05/01/2015 0:00,AA,1339,-25
06/01/2015 0:00,AA,1339,-3
07/01/2015 0:00,AA,1339,-9
08/01/2015 0:00,AA,1339,25
09/01/2015 0:00,AA,1339,-23
10/01/2015 0:00,AA,1339,-10
11/01/2015 0:00,AA,1339,-7
12/01/2015 0:00,AA,1339,-16
13/01/2015 0:00,AA,1339,-19
14/01/2015 0:00,AA,1339,51
02/01/2015 0:00,AA,1402,-6
03/01/2015 0:00,AA,1402,23
04/01/2015 0:00,AA,1402,37
05/01/2015 0:00,AA,1402,149
06/01/2015 0:00,AA,1402,32
07/01/2015 0:00,AA,1402,66
08/01/2015 0:00,AA,1402,117
09/01/2015 0:00,AA,1402,20
10/01/2015 0:00,AA,1402,-2
11/01/2015 0:00,AA,1402,61
12/01/2015 0:00,AA,1402,3
13/01/2015 0:00,AA,1402,0
14/01/2015 0:00,AA,1402,-12
02/01/2015 0:00,AA,1403,-11
03/01/2015 0:00,AA,1403,-10
04/01/2015 0:00,AA,1403,-11
05/01/2015 0:00,AA,1403,-22
06/01/2015 0:00,AA,1403,-36
07/01/2015 0:00,AA,1403,-27
08/01/2015 0:00,AA,1403,-31
09/01/2015 0:00,AA,1403,-20
10/01/2015 0:00,AA,1403,
11/01/2015 0:00,AA,1403,-7
12/01/2015 0:00,AA,1403,-10
13/01/2015 0:00,AA,1403,-8
14/01/2015 0:00,AA,1403,10
02/01/2015 0:00,AA,1404,-9
03/01/2015 0:00,AA,1404,-8
04/01/2015 0:00,AA,1404,39
05/01/2015 0:00,AA,1404,-7
06/01/2015 0:00,AA,1404,
07/01/2015 0:00,AA,1404,80
08/01/2015 0:00,AA,1404,7
09/01/2015 0:00,AA,1404,16
10/01/2015 0:00,AA,1404,21
11/01/2015 0:00,AA,1404,4
12/01/2015 0:00,AA,1404,23
13/01/2015 0:00,AA,1404,3
14/01/2015 0:00,AA,1404,20
02/01/2015 0:00,AA,1406,79
03/01/2015 0:00,AA,1406,82
04/01/2015 0:00,AA,1406,40
05/01/2015 0:00,AA,1406,-9
06/01/2015 0:00,AA,1406,39
07/01/2015 0:00,AA,1406,-7
08/01/2015 0:00,AA,1406,54
09/01/2015 0:00,AA,1406,19
10/01/2015 0:00,AA,1406,-14
11/01/2015 0:00,AA,1406,-8
12/01/2015 0:00,AA,1406,-12
13/01/2015 0:00,AA,1406,-18
14/01/2015 0:00,AA,1406,-10
02/01/2015 0:00,AA,1407,-5
03/01/2015 0:00,AA,1407,27
04/01/2015 0:00,AA,1407,8
05/01/2015 0:00,AA,1407,6
06/01/2015 0:00,AA,1407,18
07/01/2015 0:00,AA,1407,-2
08/01/2015 0:00,AA,1407,-13
09/01/2015 0:00,AA,1407,-17
10/01/2015 0:00,AA,1407,-8
11/01/2015 0:00,AA,1407,4
02/01/2015 0:00,AA,1408,29
03/01/2015 0:00,AA,1408,139
04/01/2015 0:00,AA,1408,113
05/01/2015 0:00,AA,1408,73
06/01/2015 0:00,AA,1408,-3
07/01/2015 0:00,AA,1408,41
08/01/2015 0:00,AA,1408,175
09/01/2015 0:00,AA,1408,10
10/01/2015 0:00,AA,1408,-4
11/01/2015 0:00,AA,1408,0
12/01/2015 0:00,AA,1408,23
13/01/2015 0:00,AA,1408,-15
14/01/2015 0:00,AA,1408,8
02/01/2015 0:00,AA,1409,-6
03/01/2015 0:00,AA,1409,15
04/01/2015 0:00,AA,1409,4
05/01/2015 0:00,AA,1409,-3
06/01/2015 0:00,AA,1409,208
07/01/2015 0:00,AA,1409,10
08/01/2015 0:00,AA,1409,-4
09/01/2015 0:00,AA,1409,-10
10/01/2015 0:00,AA,1409,-17
11/01/2015 0:00,AA,1409,-24
12/01/2015 0:00,AA,1409,6
13/01/2015 0:00,AA,1409,-3
14/01/2015 0:00,AA,1409,-1
02/01/2015 0:00,AA,1410,-3
03/01/2015 0:00,AA,1410,-3
04/01/2015 0:00,AA,1410,30
05/01/2015 0:00,AA,1410,-1
06/01/2015 0:00,AA,1410,-13
07/01/2015 0:00,AA,1410,-14
08/01/2015 0:00,AA,1410,-8
09/01/2015 0:00,AA,1410,-17
10/01/2015 0:00,AA,1410,-14
11/01/2015 0:00,AA,1410,-4
12/01/2015 0:00,AA,1410,-8
13/01/2015 0:00,AA,1410,-12
14/01/2015 0:00,AA,1410,-8
02/01/2015 0:00,AA,1411,50
03/01/2015 0:00,AA,1411,3
04/01/2015 0:00,AA,1411,2
05/01/2015 0:00,AA,1411,-8
06/01/2015 0:00,AA,1411,51
07/01/2015 0:00,AA,1411,-9
08/01/2015 0:00,AA,1411,-15
09/01/2015 0:00,AA,1411,-11
10/01/2015 0:00,AA,1411,
11/01/2015 0:00,AA,1411,-24
12/01/2015 0:00,AA,1411,-19
13/01/2015 0:00,AA,1411,-15
14/01/2015 0:00,AA,1411,-18
06/01/2015 0:00,AA,1411,-13
07/01/2015 0:00,AA,1411,-20
08/01/2015 0:00,AA,1411,-6
09/01/2015 0:00,AA,1411,18
10/01/2015 0:00,AA,1411,
11/01/2015 0:00,AA,1411,-13
12/01/2015 0:00,AA,1411,-2
13/01/2015 0:00,AA,1411,38
14/01/2015 0:00,AA,1411,-7
02/01/2015 0:00,AA,1412,2
03/01/2015 0:00,AA,1412,-6
04/01/2015 0:00,AA,1412,-6
05/01/2015 0:00,AA,1412,-2
06/01/2015 0:00,AA,1412,29
07/01/2015 0:00,AA,1412,6
08/01/2015 0:00,AA,1412,87
09/01/2015 0:00,AA,1412,-11
10/01/2015 0:00,AA,1412,72
11/01/2015 0:00,AA,1412,14
12/01/2015 0:00,AA,1412,-4
13/01/2015 0:00,AA,1412,-3
14/01/2015 0:00,AA,1412,-6
02/01/2015 0:00,AA,1412,-1
03/01/2015 0:00,AA,1412,67
04/01/2015 0:00,AA,1412,6
05/01/2015 0:00,AA,1412,-4
06/01/2015 0:00,AA,1412,-4
07/01/2015 0:00,AA,1412,25
08/01/2015 0:00,AA,1412,-2
09/01/2015 0:00,AA,1412,-2
10/01/2015 0:00,AA,1412,-9
11/01/2015 0:00,AA,1412,-1
12/01/2015 0:00,AA,1412,1
13/01/2015 0:00,AA,1412,-9
14/01/2015 0:00,AA,1412,-2
02/01/2015 0:00,AA,1413,127
03/01/2015 0:00,AA,1413,155
04/01/2015 0:00,AA,1413,88
05/01/2015 0:00,AA,1413,8
06/01/2015 0:00,AA,1413,21
07/01/2015 0:00,AA,1413,43
08/01/2015 0:00,AA,1413,17
09/01/2015 0:00,AA,1413,13
11/01/2015 0:00,AA,1413,-2
12/01/2015 0:00,AA,1413,10
13/01/2015 0:00,AA,1413,-5
14/01/2015 0:00,AA,1413,-5
06/01/2015 0:00,AA,1414,-9
07/01/2015 0:00,AA,1414,10
08/01/2015 0:00,AA,1414,1
09/01/2015 0:00,AA,1414,29
10/01/2015 0:00,AA,1414,-12
11/01/2015 0:00,AA,1414,1
12/01/2015 0:00,AA,1414,5
13/01/2015 0:00,AA,1414,0
14/01/2015 0:00,AA,1414,-4
06/01/2015 0:00,AA,1414,31
07/01/2015 0:00,AA,1414,-14
08/01/2015 0:00,AA,1414,-20
09/01/2015 0:00,AA,1414,21
10/01/2015 0:00,AA,1414,-34
11/01/2015 0:00,AA,1414,-31
12/01/2015 0:00,AA,1414,4
13/01/2015 0:00,AA,1414,-17
14/01/2015 0:00,AA,1414,30
02/01/2015 0:00,AA,1414,11
03/01/2015 0:00,AA,1414,18
04/01/2015 0:00,AA,1414,-7
05/01/2015 0:00,AA,1414,21
02/01/2015 0:00,AA,1415,-6
03/01/2015 0:00,AA,1415,3
04/01/2015 0:00,AA,1415,-7
05/01/2015 0:00,AA,1415,-2
07/01/2015 0:00,AA,1415,-1
08/01/2015 0:00,AA,1415,3
09/01/2015 0:00,AA,1415,16
11/01/2015 0:00,AA,1415,-1
12/01/2015 0:00,AA,1415,-5
14/01/2015 0:00,AA,1415,-5
02/01/2015 0:00,AA,1415,-12
03/01/2015 0:00,AA,1415,11
04/01/2015 0:00,AA,1415,3
05/01/2015 0:00,AA,1415,-5
06/01/2015 0:00,AA,1415,44
07/01/2015 0:00,AA,1415,3
08/01/2015 0:00,AA,1415,-22
09/01/2015 0:00,AA,1415,17
10/01/2015 0:00,AA,1415,-15
11/01/2015 0:00,AA,1415,-8
12/01/2015 0:00,AA,1415,7
13/01/2015 0:00,AA,1415,-16
14/01/2015 0:00,AA,1415,-2
06/01/2015 0:00,AA,1418,-9
07/01/2015 0:00,AA,1418,30
08/01/2015 0:00,AA,1418,-12
09/01/2015 0:00,AA,1418,-11
10/01/2015 0:00,AA,1418,-9
11/01/2015 0:00,AA,1418,12
12/01/2015 0:00,AA,1418,14
13/01/2015 0:00,AA,1418,2
14/01/2015 0:00,AA,1418,-2
02/01/2015 0:00,AA,1418,13
03/01/2015 0:00,AA,1418,3
04/01/2015 0:00,AA,1418,-7
05/01/2015 0:00,AA,1418,40
06/01/2015 0:00,AA,1418,6
07/01/2015 0:00,AA,1418,18
08/01/2015 0:00,AA,1418,-23
09/01/2015 0:00,AA,1418,-4
